Category,Location,Headline,Row
Natural Disasters,Mbuji-Mayi,"An earthquake struck Mbuji-Mayi, causing widespread damage.",117
Natural Disasters,Brazzaville,"An earthquake struck Brazzaville, causing widespread damage.",118
Natural Disasters,Pointe-Noire,"An earthquake struck Pointe-Noire, causing widespread damage.",119
Natural Disasters,Dolisie,"An earthquake struck Dolisie, causing widespread damage.",120
Natural Disasters,Bogotá,"An earthquake struck Bogotá, causing widespread damage.",121
Natural Disasters,Santiago de Cali,"An earthquake struck Santiago de Cali, causing widespread damage.",122
Natural Disasters,Medellín,"An earthquake struck Medellín, causing widespread damage.",123
Natural Disasters,Moroni,"An earthquake struck Moroni, causing widespread damage.",124
Natural Disasters,Moutsamoudou,"An earthquake struck Moutsamoudou, causing widespread damage.",125
Natural Disasters,Fomboni,"An earthquake struck Fomboni, causing widespread damage.",126
Natural Disasters,Praia,"An earthquake struck Praia, causing widespread damage.",127
Natural Disasters,Mindelo,"An earthquake struck Mindelo, causing widespread damage.",128
Natural Disasters,Espargos,"An earthquake struck Espargos, causing widespread damage.",129
Natural Disasters,San José,"An earthquake struck San José, causing widespread damage.",130
Natural Disasters,Puerto Limón,"An earthquake struck Puerto Limón, causing widespread damage.",131
Natural Disasters,San Francisco,"An earthquake struck San Francisco, causing widespread damage.",132
Natural Disasters,Havana,"An earthquake struck Havana, causing widespread damage.",133
Natural Disasters,Santiago de Cuba,"An earthquake struck Santiago de Cuba, causing widespread damage.",134
Natural Disasters,Camagüey,"An earthquake struck Camagüey, causing widespread damage.",135
Natural Disasters,Willemstad,"An earthquake struck Willemstad, causing widespread damage.",136
Natural Disasters,Sint Michiel,"An earthquake struck Sint Michiel, causing widespread damage.",137
Natural Disasters,Barber,"An earthquake struck Barber, causing widespread damage.",138
Natural Disasters,George Town,"An earthquake struck George Town, causing widespread damage.",139
Natural Disasters,West Bay,"An earthquake struck West Bay, causing widespread damage.",140
Natural Disasters,Bodden Town,"An earthquake struck Bodden Town, causing widespread damage.",141
Natural Disasters,Nicosia,"An earthquake struck Nicosia, causing widespread damage.",142
Natural Disasters,Limassol,"An earthquake struck Limassol, causing widespread damage.",143
Natural Disasters,Larnaca,"An earthquake struck Larnaca, causing widespread damage.",144
Natural Disasters,Prague,"An earthquake struck Prague, causing widespread damage.",145
Natural Disasters,Brno,"An earthquake struck Brno, causing widespread damage.",146
Natural Disasters,Ostrava,"An earthquake struck Ostrava, causing widespread damage.",147
Natural Disasters,Berlin,"An earthquake struck Berlin, causing widespread damage.",148
Natural Disasters,Hamburg,"An earthquake struck Hamburg, causing widespread damage.",149
Natural Disasters,Munich,"An earthquake struck Munich, causing widespread damage.",150
Natural Disasters,Djibouti,"An earthquake struck Djibouti, causing widespread damage.",151
Natural Disasters,Ali Sabih,"An earthquake struck Ali Sabih, causing widespread damage.",152
Natural Disasters,Dikhil,"An earthquake struck Dikhil, causing widespread damage.",153
Natural Disasters,Roseau,"An earthquake struck Roseau, causing widespread damage.",154
Natural Disasters,Portsmouth,"An earthquake struck Portsmouth, causing widespread damage.",155
Natural Disasters,Marigot,"An earthquake struck Marigot, causing widespread damage.",156
Natural Disasters,Copenhagen,"An earthquake struck Copenhagen, causing widespread damage.",157
Natural Disasters,Aarhus,"An earthquake struck Aarhus, causing widespread damage.",158
Natural Disasters,Odense,"An earthquake struck Odense, causing widespread damage.",159
Natural Disasters,Santo Domingo,"An earthquake struck Santo Domingo, causing widespread damage.",160
Natural Disasters,Santo Domingo Oeste,"An earthquake struck Santo Domingo Oeste, causing widespread damage.",161
Natural Disasters,Algiers,"An earthquake struck Algiers, causing widespread damage.",162
Natural Disasters,Oran,"An earthquake struck Oran, causing widespread damage.",163
Natural Disasters,Constantine,"An earthquake struck Constantine, causing widespread damage.",164
Natural Disasters,Quito,"An earthquake struck Quito, causing widespread damage.",165
Natural Disasters,Guayaquil,"An earthquake struck Guayaquil, causing widespread damage.",166
Natural Disasters,Cuenca,"An earthquake struck Cuenca, causing widespread damage.",167
Natural Disasters,Cairo,"An earthquake struck Cairo, causing widespread damage.",168
Natural Disasters,Alexandria,"An earthquake struck Alexandria, causing widespread damage.",169
Natural Disasters,Giza,"An earthquake struck Giza, causing widespread damage.",170
Natural Disasters,Asmara,"An earthquake struck Asmara, causing widespread damage.",171
Natural Disasters,Keren,"An earthquake struck Keren, causing widespread damage.",172
Natural Disasters,Himora,"An earthquake struck Himora, causing widespread damage.",173
Natural Disasters,Madrid,"An earthquake struck Madrid, causing widespread damage.",174
Natural Disasters,Barcelona,"An earthquake struck Barcelona, causing widespread damage.",175
Natural Disasters,Valencia,"An earthquake struck Valencia, causing widespread damage.",176
Natural Disasters,Tallinn,"An earthquake struck Tallinn, causing widespread damage.",177
Natural Disasters,Tartu,"An earthquake struck Tartu, causing widespread damage.",178
Natural Disasters,Narva,"An earthquake struck Narva, causing widespread damage.",179
Natural Disasters,Addis Ababa,"An earthquake struck Addis Ababa, causing widespread damage.",180
Natural Disasters,Jijiga,"An earthquake struck Jijiga, causing widespread damage.",181
Natural Disasters,Gonder,"An earthquake struck Gonder, causing widespread damage.",182
Natural Disasters,Helsinki,"An earthquake struck Helsinki, causing widespread damage.",183
Natural Disasters,Espoo,"An earthquake struck Espoo, causing widespread damage.",184
Natural Disasters,Tampere,"An earthquake struck Tampere, causing widespread damage.",185
Natural Disasters,Nasinu,"An earthquake struck Nasinu, causing widespread damage.",186
Natural Disasters,Suva,"An earthquake struck Suva, causing widespread damage.",187
Natural Disasters,Lautoka,"An earthquake struck Lautoka, causing widespread damage.",188
Natural Disasters,Paris,"An earthquake struck Paris, causing widespread damage.",189
Natural Disasters,Marseille,"An earthquake struck Marseille, causing widespread damage.",190
Natural Disasters,Lyon,"An earthquake struck Lyon, causing widespread damage.",191
Natural Disasters,Tórshavn,"An earthquake struck Tórshavn, causing widespread damage.",192
Natural Disasters,Klaksvík,"An earthquake struck Klaksvík, causing widespread damage.",193
Natural Disasters,Hoyvík,"An earthquake struck Hoyvík, causing widespread damage.",194
Natural Disasters,Weno,"An earthquake struck Weno, causing widespread damage.",195
Natural Disasters,Tofol,"An earthquake struck Tofol, causing widespread damage.",196
Natural Disasters,Colonia,"An earthquake struck Colonia, causing widespread damage.",197
Natural Disasters,Libreville,"An earthquake struck Libreville, causing widespread damage.",198
Natural Disasters,Port-Gentil,"An earthquake struck Port-Gentil, causing widespread damage.",199
Natural Disasters,Franceville,"An earthquake struck Franceville, causing widespread damage.",200
Natural Disasters,London,"An earthquake struck London, causing widespread damage.",201
Natural Disasters,Birmingham,"An earthquake struck Birmingham, causing widespread damage.",202
Natural Disasters,Liverpool,"An earthquake struck Liverpool, causing widespread damage.",203
Natural Disasters,Tbilisi,"An earthquake struck Tbilisi, causing widespread damage.",204
Natural Disasters,Batumi,"An earthquake struck Batumi, causing widespread damage.",205
Natural Disasters,Kutaisi,"An earthquake struck Kutaisi, causing widespread damage.",206
Natural Disasters,Kumasi,"An earthquake struck Kumasi, causing widespread damage.",207
Natural Disasters,Accra,"An earthquake struck Accra, causing widespread damage.",208
Natural Disasters,Tamale,"An earthquake struck Tamale, causing widespread damage.",209
Natural Disasters,Gibraltar,"An earthquake struck Gibraltar, causing widespread damage.",210
Natural Disasters,Waterport,"An earthquake struck Waterport, causing widespread damage.",211
Natural Disasters,Rosia,"An earthquake struck Rosia, causing widespread damage.",212
Natural Disasters,Conakry,"An earthquake struck Conakry, causing widespread damage.",213
Natural Disasters,Camayenne,"An earthquake struck Camayenne, causing widespread damage.",214
Natural Disasters,Nzérékoré,"An earthquake struck Nzérékoré, causing widespread damage.",215
Natural Disasters,Serrekunda,"An earthquake struck Serrekunda, causing widespread damage.",216
Natural Disasters,Brikama,"An earthquake struck Brikama, causing widespread damage.",217
Natural Disasters,Bununka Kunda,"An earthquake struck Bununka Kunda, causing widespread damage.",218
Natural Disasters,Bissau,"An earthquake struck Bissau, causing widespread damage.",219
Natural Disasters,Gabú,"An earthquake struck Gabú, causing widespread damage.",220
Natural Disasters,Bafatá,"An earthquake struck Bafatá, causing widespread damage.",221
Natural Disasters,Bata,"An earthquake struck Bata, causing widespread damage.",222
Natural Disasters,Malabo,"An earthquake struck Malabo, causing widespread damage.",223
Natural Disasters,Ebebiyin,"An earthquake struck Ebebiyin, causing widespread damage.",224
Natural Disasters,Athens,"An earthquake struck Athens, causing widespread damage.",225
Natural Disasters,Thessaloniki,"An earthquake struck Thessaloniki, causing widespread damage.",226
Natural Disasters,Pátrai,"An earthquake struck Pátrai, causing widespread damage.",227
Natural Disasters,St. George's,"An earthquake struck St. George's, causing widespread damage.",228
Natural Disasters,Gouyave,"An earthquake struck Gouyave, causing widespread damage.",229
Natural Disasters,Grenville,"An earthquake struck Grenville, causing widespread damage.",230
Natural Disasters,Nuuk,"An earthquake struck Nuuk, causing widespread damage.",231
Natural Disasters,Sisimiut,"An earthquake struck Sisimiut, causing widespread damage.",232
Natural Disasters,Ilulissat,"An earthquake struck Ilulissat, causing widespread damage.",233
Natural Disasters,Guatemala City,"An earthquake struck Guatemala City, causing widespread damage.",234
Natural Disasters,Villa Nueva,"An earthquake struck Villa Nueva, causing widespread damage.",235
Natural Disasters,Mixco,"An earthquake struck Mixco, causing widespread damage.",236
Natural Disasters,Dededo Village,"An earthquake struck Dededo Village, causing widespread damage.",237
Natural Disasters,Yigo Village,"An earthquake struck Yigo Village, causing widespread damage.",238
Natural Disasters,Tamuning-Tumon-Harmon Village,"An earthquake struck Tamuning-Tumon-Harmon Village, causing widespread damage.",239
Natural Disasters,Georgetown,"An earthquake struck Georgetown, causing widespread damage.",240
Natural Disasters,Linden,"An earthquake struck Linden, causing widespread damage.",241
Natural Disasters,New Amsterdam,"An earthquake struck New Amsterdam, causing widespread damage.",242
Natural Disasters,Hong Kong,"An earthquake struck Hong Kong, causing widespread damage.",243
Natural Disasters,New Territories,"An earthquake struck New Territories, causing widespread damage.",244
Natural Disasters,Kowloon,"An earthquake struck Kowloon, causing widespread damage.",245
Natural Disasters,Tegucigalpa,"An earthquake struck Tegucigalpa, causing widespread damage.",246
Natural Disasters,San Pedro Sula,"An earthquake struck San Pedro Sula, causing widespread damage.",247
Natural Disasters,La Ceiba,"An earthquake struck La Ceiba, causing widespread damage.",248
Natural Disasters,Zagreb,"An earthquake struck Zagreb, causing widespread damage.",249
Natural Disasters,Split,"An earthquake struck Split, causing widespread damage.",250
Natural Disasters,Rijeka,"An earthquake struck Rijeka, causing widespread damage.",251
Natural Disasters,Port-au-Prince,"An earthquake struck Port-au-Prince, causing widespread damage.",252
Natural Disasters,Carrefour,"An earthquake struck Carrefour, causing widespread damage.",253
Natural Disasters,Delmas,"An earthquake struck Delmas, causing widespread damage.",254
Natural Disasters,Budapest,"An earthquake struck Budapest, causing widespread damage.",255
Natural Disasters,Debrecen,"An earthquake struck Debrecen, causing widespread damage.",256
Natural Disasters,Szeged,"An earthquake struck Szeged, causing widespread damage.",257
Natural Disasters,Jakarta,"An earthquake struck Jakarta, causing widespread damage.",258
Natural Disasters,Surabaya,"An earthquake struck Surabaya, causing widespread damage.",259
Natural Disasters,Bekasi,"An earthquake struck Bekasi, causing widespread damage.",260
Natural Disasters,Douglas,"An earthquake struck Douglas, causing widespread damage.",261
Natural Disasters,Ramsey,"An earthquake struck Ramsey, causing widespread damage.",262
Natural Disasters,Peel,"An earthquake struck Peel, causing widespread damage.",263
Natural Disasters,Mumbai,"An earthquake struck Mumbai, causing widespread damage.",264
Natural Disasters,Delhi,"An earthquake struck Delhi, causing widespread damage.",265
Natural Disasters,Bengaluru,"An earthquake struck Bengaluru, causing widespread damage.",266
Natural Disasters,Dublin,"An earthquake struck Dublin, causing widespread damage.",267
Natural Disasters,Dublin South,"An earthquake struck Dublin South, causing widespread damage.",268
Natural Disasters,Cork,"An earthquake struck Cork, causing widespread damage.",269
Natural Disasters,Tehran,"An earthquake struck Tehran, causing widespread damage.",270
Natural Disasters,Mashhad,"An earthquake struck Mashhad, causing widespread damage.",271
Natural Disasters,Isfahan,"An earthquake struck Isfahan, causing widespread damage.",272
Natural Disasters,Baghdad,"An earthquake struck Baghdad, causing widespread damage.",273
Natural Disasters,Al Mawşil al Jadīdah,"An earthquake struck Al Mawşil al Jadīdah, causing widespread damage.",274
Natural Disasters,Al Başrah al Qadīmah,"An earthquake struck Al Başrah al Qadīmah, causing widespread damage.",275
Natural Disasters,Reykjavik,"An earthquake struck Reykjavik, causing widespread damage.",276
Natural Disasters,Kopavogur,"An earthquake struck Kopavogur, causing widespread damage.",277
Natural Disasters,Hafnarfjordur,"An earthquake struck Hafnarfjordur, causing widespread damage.",278
Natural Disasters,Jerusalem,"An earthquake struck Jerusalem, causing widespread damage.",279
Natural Disasters,Tel Aviv,"An earthquake struck Tel Aviv, causing widespread damage.",280
Natural Disasters,West Jerusalem,"An earthquake struck West Jerusalem, causing widespread damage.",281
Natural Disasters,Rome,"An earthquake struck Rome, causing widespread damage.",282
Natural Disasters,Milan,"An earthquake struck Milan, causing widespread damage.",283
Natural Disasters,Naples,"An earthquake struck Naples, causing widespread damage.",284
Natural Disasters,Kingston,"An earthquake struck Kingston, causing widespread damage.",285
Natural Disasters,New Kingston,"An earthquake struck New Kingston, causing widespread damage.",286
Natural Disasters,Spanish Town,"An earthquake struck Spanish Town, causing widespread damage.",287
Natural Disasters,Amman,"An earthquake struck Amman, causing widespread damage.",288
Natural Disasters,Zarqa,"An earthquake struck Zarqa, causing widespread damage.",289
Natural Disasters,Irbid,"An earthquake struck Irbid, causing widespread damage.",290
Natural Disasters,Tokyo,"An earthquake struck Tokyo, causing widespread damage.",291
Natural Disasters,Yokohama,"An earthquake struck Yokohama, causing widespread damage.",292
Natural Disasters,Osaka,"An earthquake struck Osaka, causing widespread damage.",293
Natural Disasters,Almaty,"An earthquake struck Almaty, causing widespread damage.",294
Natural Disasters,Shymkent,"An earthquake struck Shymkent, causing widespread damage.",295
Natural Disasters,Aktobe,"An earthquake struck Aktobe, causing widespread damage.",296
Natural Disasters,Nairobi,"An earthquake struck Nairobi, causing widespread damage.",297
Natural Disasters,Kakamega,"An earthquake struck Kakamega, causing widespread damage.",298
Natural Disasters,Mombasa,"An earthquake struck Mombasa, causing widespread damage.",299
Natural Disasters,Bishkek,"An earthquake struck Bishkek, causing widespread damage.",300
Natural Disasters,Osh,"An earthquake struck Osh, causing widespread damage.",301
Natural Disasters,Jalal-Abad,"An earthquake struck Jalal-Abad, causing widespread damage.",302
Natural Disasters,Phnom Penh,"An earthquake struck Phnom Penh, causing widespread damage.",303
Natural Disasters,Takeo,"An earthquake struck Takeo, causing widespread damage.",304
Natural Disasters,Siem Reap,"An earthquake struck Siem Reap, causing widespread damage.",305
Natural Disasters,Tarawa,"An earthquake struck Tarawa, causing widespread damage.",306
Natural Disasters,Betio Village,"An earthquake struck Betio Village, causing widespread damage.",307
Natural Disasters,Bikenibeu Village,"An earthquake struck Bikenibeu Village, causing widespread damage.",308
Natural Disasters,Basseterre,"An earthquake struck Basseterre, causing widespread damage.",309
Natural Disasters,Sandy Point Town,"An earthquake struck Sandy Point Town, causing widespread damage.",310
Natural Disasters,Fig Tree,"An earthquake struck Fig Tree, causing widespread damage.",311
Natural Disasters,Seoul,"An earthquake struck Seoul, causing widespread damage.",312
Natural Disasters,Busan,"An earthquake struck Busan, causing widespread damage.",313
Natural Disasters,Incheon,"An earthquake struck Incheon, causing widespread damage.",314
Natural Disasters,Al Ahmadi,"An earthquake struck Al Ahmadi, causing widespread damage.",315
Natural Disasters,Hawalli,"An earthquake struck Hawalli, causing widespread damage.",316
Natural Disasters,As Sālimīyah,"An earthquake struck As Sālimīyah, causing widespread damage.",317
Natural Disasters,Vientiane,"An earthquake struck Vientiane, causing widespread damage.",318
Natural Disasters,Savannakhet,"An earthquake struck Savannakhet, causing widespread damage.",319
Natural Disasters,Pakse,"An earthquake struck Pakse, causing widespread damage.",320
Natural Disasters,Beirut,"An earthquake struck Beirut, causing widespread damage.",321
Natural Disasters,Ra’s Bayrūt,"An earthquake struck Ra’s Bayrūt, causing widespread damage.",322
Natural Disasters,Tripoli,"An earthquake struck Tripoli, causing widespread damage.",323
Natural Disasters,Monrovia,"An earthquake struck Monrovia, causing widespread damage.",324
Natural Disasters,Gbarnga,"An earthquake struck Gbarnga, causing widespread damage.",325
Natural Disasters,Buchanan,"An earthquake struck Buchanan, causing widespread damage.",326
Natural Disasters,Benghazi,"An earthquake struck Benghazi, causing widespread damage.",327
Natural Disasters,Misratah,"An earthquake struck Misratah, causing widespread damage.",328
Natural Disasters,Gros Islet,"An earthquake struck Gros Islet, causing widespread damage.",329
Natural Disasters,Castries,"An earthquake struck Castries, causing widespread damage.",330
Natural Disasters,Bisee,"An earthquake struck Bisee, causing widespread damage.",331
Natural Disasters,Schaan,"An earthquake struck Schaan, causing widespread damage.",332
Natural Disasters,Triesen,"An earthquake struck Triesen, causing widespread damage.",333
Natural Disasters,Vaduz,"An earthquake struck Vaduz, causing widespread damage.",334
Natural Disasters,Colombo,"An earthquake struck Colombo, causing widespread damage.",335
Natural Disasters,Dehiwala-Mount Lavinia,"An earthquake struck Dehiwala-Mount Lavinia, causing widespread damage.",336
Natural Disasters,Maharagama,"An earthquake struck Maharagama, causing widespread damage.",337
Natural Disasters,Maseru,"An earthquake struck Maseru, causing widespread damage.",338
Natural Disasters,Maputsoe,"An earthquake struck Maputsoe, causing widespread damage.",339
Natural Disasters,Mohale's Hoek,"An earthquake struck Mohale's Hoek, causing widespread damage.",340
Natural Disasters,Vilnius,"An earthquake struck Vilnius, causing widespread damage.",341
Natural Disasters,Kaunas,"An earthquake struck Kaunas, causing widespread damage.",342
Natural Disasters,Klaipėda,"An earthquake struck Klaipėda, causing widespread damage.",343
Natural Disasters,Luxembourg,"An earthquake struck Luxembourg, causing widespread damage.",344
Natural Disasters,Esch-sur-Alzette,"An earthquake struck Esch-sur-Alzette, causing widespread damage.",345
Natural Disasters,Dudelange,"An earthquake struck Dudelange, causing widespread damage.",346
Natural Disasters,Riga,"An earthquake struck Riga, causing widespread damage.",347
Natural Disasters,Daugavpils,"An earthquake struck Daugavpils, causing widespread damage.",348
Natural Disasters,Liepāja,"An earthquake struck Liepāja, causing widespread damage.",349
Natural Disasters,Macao,"An earthquake struck Macao, causing widespread damage.",350
Natural Disasters,Taipa,"An earthquake struck Taipa, causing widespread damage.",351
Natural Disasters,Luhuan,"An earthquake struck Luhuan, causing widespread damage.",352
Natural Disasters,Grand-Case,"An earthquake struck Grand-Case, causing widespread damage.",353
Natural Disasters,Saint-James,"An earthquake struck Saint-James, causing widespread damage.",354
Natural Disasters,Casablanca,"An earthquake struck Casablanca, causing widespread damage.",355
